type;title;director;country;release_year;cast;
TV Show;Bitter Daisies;Miguel Conde;Spain;2018;María Mera.Toni Salgado.Miquel Insua.Denis Gómez.Lucía Álvarez.Sara Sanz.Jimmy Núñez.Paloma Saavedra.Manuel Cortés.Yelena Molina.Ricardo de Barreiro.Nerea Barros.Santiago Cuquejo.Martina Stetson.Carlos Villarino;
Movie;Bittoo Boss;Supavitra Babul;India;2012;Pulkit Samrat.Ashok Pathak.Tanvir Singh.Amita Pathak.Sunil Shetty.Rajendra Sethi.Mohan Kapoor;
Movie;Black & Privileged: Volume 1;Mark Harris;United States;2019;Dawnisha Halfkenny.Simeon Henderson.Corey Hendrix.Malcom Banks.Nadia Simms.Brian White.Brely Evans.Cynda Williams.Carl Anthony Payne II;
Movie;Black Hawk Down;Ridley Scott;United States.United Kingdom;2001;Josh Hartnett.Ewan McGregor.Tom Sizemore.Eric Bana.William Fichtner.Ewen Bremner.Sam Shepard.Gabriel Casseus.Kim Coates.Hugh Dancy.Ron Eldard.Ioan Gruffudd.Tom Guiry.Charlie Hofheimer.Danny Hoch.Jason Isaacs.Zeljko Ivanek.Glenn Morshower.Jeremy Piven.Brendan Sexton III;
TV Show;Black Heart;;Turkey;2014;Barış Kılıç.Tuvana Türkay.Serhat Tutumluer.Gülçin Santırcıoğlu.Kenan Bal;
Movie;Black Man White Skin;Jose Manuel Colón;Spain;2015;;
Movie;Black Panther;Ryan Coogler;United States;2018;Chadwick Boseman.Michael B.Jordan.Lupita Nyong'o.Danai Gurira.Martin Freeman.Daniel Kaluuya.Letitia Wright.Winston Duke.Sterling K.Brown.Angela Bassett.Forest Whitaker.Andy Serkis.Florence Kasumba.John Kani.David S.Lee.Stan Lee;
Movie;Black Site Delta;Jesse Gustafson;United States;2017;Cam Gigandet.Teri Reeves.Michael Dale.Dion Mucciacito.Casey Hendershot.Benjamin Charles Watson.John Brodsky.Arash Mokhtar;
Movie;Black Snake Moan;Craig Brewer;United States;2007;Samuel L.Jackson.Christina Ricci.Justin Timberlake.S.Epatha Merkerson.John Cothran.David Banner.Michael Raymond-James.Adriane Lenox.Kim Richards.Neimus K.Williams;
Movie;Black Snow;Martin Hodara;Argentina.Spain;2017;Ricardo Darín.Leonardo Sbaraglia.Laia Costa.Federico Luppi.Dolores Fonzi.Andrés Herrera;
Movie;Blackfish;Gabriela Cowperthwaite;United States;2013;;
Movie;Blackway;Daniel Alfredson;United States;2015;Anthony Hopkins.Julia Stiles.Alexander Ludwig.Ray Liotta.Hal Holbrook.Lochlyn Munro.Steve Bacic.Aaron Pearl.Aleks Paunovic;
Movie;Blaze;Ethan Hawke;United States;2018;Benjamin Dickey.Alia Shawkat.Josh Hamilton.Charlie Sexton.Sam Rockwell.Wyatt Russell.Steve Zahn.Kris Kristofferson.Richard Linklater.David Kallaway.Ritchie Montgomery;
Movie;Bleed for This;Ben Younger;United States;2016;Miles Teller.Aaron Eckhart.Katey Sagal.Ciarán Hinds.Ted Levine.Jordan Gelber.Amanda Clayton.Daniel Sauli.Christine Evangelista.Tina Casciani;
Movie;Blinky Bill: The Movie;Deane Taylor;Australia.United States;2015;Ryan Kwanten.Rufus Sewell.Toni Collette.Robin McLeavy.David Wenham.Barry Humphries.Richard Roxburgh.Deborah Mailman.Barry Otto;
Movie;Blockbuster;07.Hygreck;France;2017;Syrus Shahidi.Lionel Abelanski.Charlotte Gabris.Tom Hygreck.Sylvain Quimene.Laura Boujenah.Foed Amara;
TV Show;Blood & Treasures;;Thailand;2016;Nawat Kulrattanarak.Woranuch Wongsawan.Jespipat Tilapornputt.Paramej Noiam.Phutharit Prombandal;
Movie;Blood Father;Jean-François Richet;France;2016;Mel Gibson.Erin Moriarty.Diego Luna.Michael Parks.William H.Macy.Miguel Sandoval.Dale Dickey.Richard Cabral.Daniel Moncada.Ryan Dorsey;
Movie;Blow;Ted Demme;United States;2001;Johnny Depp.Penélope Cruz.Franka Potente.Rachel Griffiths.Paul Reubens.Jordi Mollà.Cliff Curtis.Miguel Sandoval.Ethan Suplee.Ray Liotta;
Movie;Blue Is the Warmest Color;Abdellatif Kechiche;France.Belgium.Spain;2013;Léa Seydoux.Adèle Exarchopoulos.Salim Kechiouche.Aurélien Recoing.Catherine Salée.Benjamin Siksou.Mona Walravens.Alma Jodorowsky.Jérémie Laheurte.Anne Loiret.Benoît Pilot.Sandor Funtek.Fanny Maurin;
Movie;Blue Jasmine;Woody Allen;United States;2013;Cate Blanchett.Sally Hawkins.Alec Baldwin.Louis C.K..Bobby Cannavale.Andrew Dice Clay.Peter Sarsgaard.Michael Stuhlbarg.Tammy Blanchard.Max Casella.Alden Ehrenreich;
Movie;Blue Mountain State: The Rise of Thadland;Lev L.Spiro;United States;2016;Alan Ritchson.Darin Brooks.James Cade.Rob Ramsay.Chris Romano.Frankie Shaw.Omari Newton.Ed Marinaro.Dhani Jones.Ed Amatrudo.Jimmy Tatro;
TV Show;Blue Planet II;;United Kingdom;2017;David Attenborough;
Movie;Blue Ruin;Jeremy Saulnier;United States.France;2013;Macon Blair.Devin Ratray.Amy Hargreaves.Kevin Kolack.Eve Plumb.David W.Thompson.Brent Werzner.Stacy Rock.Sidné Anderson.Sandy Barnett.Bonnie Johnson;
Movie;Blue Streak;Les 05.field;Germany.United States;1999;Martin Lawrence.Luke Wilson.Peter Greene.Dave Chappelle.Nicole Ari Parker.Graham Beckel.Robert Miranda.Olek Krupa.Saverio Guerra.Richard C.Sarafian.William Forsythe;
Movie;Blue Valentine;Derek Cianfrance;United States;2010;Ryan Gosling.Michelle Williams.Faith Wladyka.John Doman.Mike Vogel.Ben Shenkman.Jen Jones.Maryann Plunkett.Marshall Johnson.James Benatti.Barbara Troy.Carey Westbrook.Enid Graham;
Movie;Blurred Lines: Inside the Art World;Barry Avrich;Canada;2017;;
Movie;Bob Lazar: Area 51 & Flying Saucers;Jeremy Kenyon Lockyer Corbell;United States;2018;Robert Lazar;
TV Show;Bob Ross: Beauty Is Everywhere;;;1991;Bob Ross;
Movie;Bob's Broken Sleigh;Jay Surridge;Canada;2015;Cole Howard.Bruce Greenwood.Victor Garber.Michael Adamthwaite.Raini Rodriguez.Colin Murdock.Maryke Hendrikse.Sam Vincent.Gabe Khouth;
Movie;Bobbi Jene;Elvira Lind;Denmark.Sweden.Israel.United States;2017;Bobbi Jene Smith;
Movie;Bobby;Raj Kapoor;India;1973;Rishi Kapoor.Dimple Kapadia.Pran.Prem Nath.Sonia Sahni.Durga Khote.Aruna Irani.Prem Chopra.Farida Jalal;
Movie;Bobby Robson: More Than a Manager;Gabriel Clarke.Torquil Jones;United Kingdom;2018;Bobby Robson;
Movie;Bobby Sands: 66 Days;Brendan Byrne;Ireland.United Kingdom;2016;;
Movie;Bokeh;Geoffrey Orthwein.Andrew Sullivan;United States.Iceland;2017;Maika Monroe.Matt O'Leary.Arnar Jónsson.Gunnar Helgason.Berglind Rós Sigurðardóttir;
Movie;Bolt;Byron Howard.Chris Williams;United States;2008;John Travolta.Miley Cyrus.Susie Essman.Mark Walton.Malcolm McDowell.James Lipton.Greg Germann.Diedrich Bader.Nick Swardson.J.P.Manoux.Dan Fogelman.Kari Wahlgren.Chloë Grace Moretz.Randy Savage.Ronn Moss.John DiMaggio.Daran Norris.Jeff Bennett.Brian Stepanek.Todd Cummings;
Movie;Bombshell: The Hedy Lamarr Story;Alexandra Dean;United States;2017;Hedy Lamarr;
Movie;Bon Bini Holland;Jelle de Jonge;Netherlands;2015;Jandino Asporaat.Liliana de Vries.Teun Kuilboer.Sergio IJssel.Dennis Rudge.Alpha Oumar Barry.Phi Nguyen;
TV Show;Bondi Rescue;;Australia;2016;Andrew Günsberg.Dean Gladstone.Bruce Hopkins.Trent 'Maxi' Maxwell.Andrew Reid.Ryan Clark.Chris Chapman.Anthony 'Harries' Caroll;
Movie;Bonnie and Clyde;Arthur Penn;United States;1967;Warren Beatty.Faye Dunaway.Michael J.Pollard.Gene Hackman.Estelle Parsons.Denver Pyle.Dub Taylor.Evans Evans.Gene Wilder;
Movie;Boom;Kaizad Gustad;India;2003;Amitabh Bachchan.Gulshan Grover.Jackie Shroff.Javed Jaffrey.Katrina Kaif.Madhu Sapre.Padma Lakshmi.Seema Biswas.Zeenat Aman.Boman Irani;
TV Show;Border Patrol;;;2016;Timothy Balme;
TV Show;Borderline;;United Kingdom;2017;David Avery.Jackie Clune.David Elms.Liz Kingsman.Jamie Michie;
Movie;Born Strong;Gary Cohen.Ross Hockrow;United States;2017;Eddie Hall.Hafþór Júlíus Björnsson.Brian Shaw.Zydrunas Savickas;
Movie;Born to Be Free;Gayane Petrosyan;United Kingdom.Russia;2016;Casting a light on the mistreatment of sea mammals.this documentary follows the plight of 18 Beluga whales kept in captivity for years.;
TV Show;Botched Up Bodies;;United Kingdom;2013;Charlie Brooks.Sue Johnston;
Movie;Bottom of the World;Richard Sears;Canada.United States;2017;Jena Malone.Douglas Smith.Ted Levine.Tamara Duarte.Kelly Pendygraft.Mark Sivertsen.Jon McLaren;
Movie;Boy and the World;Alê Abreu;Brazil;2013;Vinícius Garcia.Felipe Zilse.Alê Abreu.Lu Horta.Marco Aurélio Campos.Cassius Romero.Alfredo Rollo;
Movie;Boy Bye;Chris Stokes;United States;2016;Wendy Raquel Robinson.Ross Fleming.Shondrella Avery.Tammy Townsend.Omar Gooding.Tracy Davis.Veronika Bozeman.Kelly Perine.Valarie Pettiford;
TV Show;Brain Games;;United States;2016;Jason Silva;
Movie;Brampton's Own;Michael Doneger;United States;2018;Alex Russell.Rose McIver.Jean Smart.Scott Porter.Kevin Linehan.Spencer Grammer.Carter Hastings.Riley Voelkel.John Getz;
Movie;Bratz: The Movie;Sean McNamara;United States;2007;Logan Browning.Janel Parrish.Nathalia Ramos.Skyler Shaye.Chelsea Kane;
TV Show;Brave Miss World;Cecilia Peck;United States.Israel.Italy.South Africa;2013;Linor Abargil;
Movie;Brave New Jersey;Jody Lambert;United States;2016;Tony Hale.Anna Camp.Sam Jaeger.Heather Burns.Dan Bakkedahl.Raymond J.Barry.Erika Alexander.Mel Rodriguez.Evan Jonigkeit.Grace Kaufman;
TV Show;Braxton Family Values;;United States;2014;Toni Braxton.Trina Braxton.Traci Braxton.Towanda Braxton.Tamar Braxton;
Movie;Breaking Free;Sridhar Rangayan;India;2015;Sridhar Rangayan;
Movie;Breath;Simon Baker;Australia;2018;Samson Coulter.Ben Spence.Simon Baker.Elizabeth Debicki.Richard Roxburgh.Rachael Blake.Jacek Koman;
Movie;Brick;Rian Johnson;United States;2005;Joseph Gordon-Levitt.Nora Zehetner.Lukas Haas.Noah Fleiss.Matt O'Leary.Emilie de Ravin.Noah Segan.Richard Roundtree.Meagan Good.Brian White;
Movie;Bring It On: Worldwide Showdown;Robert Adetuyi;United States;2017;Cristine Prosperi.Jordan Rodrigues.Gia Re.Sophie Vavasseur.Sven Ruygrok.Stephan Lee Benson.Natalie Walsh.Vivica A.Fox;
TV Show;Bringing Sexy Back;;;2015;Samantha Armstrong;
Movie;Brooklyn's Finest;Antoine Fuqua;United States;2009;Richard Gere.Don Cheadle.Ethan Hawke.Wesley Snipes.Will Patton.Lili Taylor.Michael Kenneth Williams.Brían F.O'Byrne.Shannon Kane.Ellen Barkin.Vincent D'Onofrio.Logan Marshall-Green;
Movie;Brotherhood of Blades II: The Infernal Battlefield;Lu Yang;China;2017;Chang Chen.Yang Mi.Zhang Yi.Lei Jiayin.Xin Zhilei.Shih Chieh King;
TV Show;Brown Nation;;United States;2016;Rajeev Varma.Shenaz Treasury.Kapil Bawa.Remy Munasifi.Omi Vaidya.Melanie Chandra.Sana Serrai.Jonathan Horvath.Akaash Singh;
Movie;Bruno and Boots: Go Jump in the Pool;Vivieno Caldinelli;Canada;2016;Jonny Gray.Callan Potter.Peter Keleghan.Hannah Vandenbygaart.Kiana Madeira.Joshua Kilimnik.Drew Haytaoglu.Isiah Lea.Scott Thompson.Caroline Rhea;
Movie;Bruno and Boots: The Wizzle War;Vivieno Caldinelli;Canada;2017;Jonny Gray.Callan Potter.Matt Baram.Caroline Rhea.Kiana Madeira;
Movie;Bruno and Boots: This Can't Be Happening at Macdonald Hall;Vivieno Caldinelli;Canada;2017;Jonny Gray.Callan Potter.Peter Keleghan.Caroline Rhea;
TV Show;Buddha;;;2013;Himanshu Soni.Kajal Jain.Sanket Choukse.Kabir Bedi.Sameer Dharmadhikari.Jagat Singh.Reshmi Ghosh.Siddharth Vasudev.Amit Behl.Hemant Choudhary;
Movie;Buffalo Boys;Mike Wiluan;Indonesia.Singapore;2018;Yoshua Sudarso.Ario Bayu.Pevita Pearce.Tio Pakusadewo.Reinout Bussemaker.Mikha Tambayong.Happy Salma.Alex Abbad.Zack Lee;
Movie;Bugs;Andreas Johnsen;Netherlands.Denmark.France.Germany;2016;;
Movie;Bullitt County;David McCracken;United States;2018;Mike C.Nelson.Jenni Melear.David McCracken.Napoleon Ryan.Dorothy Lyman.Richard Riehle;
TV Show;Bure Kaam Bura Natija.Kyun Bhai Chacha Haan Bhatija;;;2017;;
Movie;Burlesque;Steve Antin;United States;2010;Cher.Christina Aguilera.Alan Cumming.Eric Dane.Cam Gigandet.Julianne Hough.Peter Gallagher.Kristen Bell.Stanley Tucci.Dianna Agron;
Movie;Burlesque: Heart of the Glitter Tribe;Jon Manning;United States;2017;;
Movie;Burning;Lee Chang-dong;South Korea.Japan;2018;Yoo Ah-in.Steven Yeun.Jun Jong-seo.Kim Soo-kyung.Moon Sung-keun.ChoI Seung-ho;
TV Show;Burnistoun;;United Kingdom;2012;Iain Connell.Robert Florence.Kirsty Strain.Richard Rankin.Allan Miller.Louise Stewart;
Movie;Bushwick;Cary Murnion.Jonathan Milott;United States;2017;Dave Bautista.Brittany Snow.Angelic Zambrana.Jeremie Harris.Myra Lucretia Taylor.Arturo Castro.Christian Navarro;
Movie;Butterfield 8;Daniel Mann;United States;1960;Elizabeth Taylor.Laurence Harvey.Eddie Fisher.Dina Merrill.Mildred Dunnock.Betty Field.Jeffrey Lynn.Susan Oliver;
Movie;Cézanne et moi;Daniele Thompson;Belgium.France;2016;Guillaume Canet.Guillaume Gallienne.Alice Pol.Déborah François.Sabine Azéma.Freya Mavor.Isabelle Candelier.Laurent Stocker;
Movie;Cabin Fever;Travis Zariwny;United States;2016;Gage Golightly.Matthew Daddario.Samuel Davis.Nadine Crocker.Dustin Ingram.Randy Schulman;
TV Show;Cabins in the Wild with Dick Strawbridge;;United Kingdom;2017;Dick Strawbridge.William Hardie;
Movie;Cahaya Dari Timur Beta Maluku;Angga Dwimas Sasongko;Indonesia;2014;Chicco Jerikho.Abdurrahman Arif.Jajang C.Noer.Ridho Hafiedz.Leo Maitimu.Shafira Umm.Glenn Fredly.Aufa Assagaf.Burhanuddin Ohorella.Bebeto Leutually;
Movie;Caida del Cielo;Néstor Sánchez Sotelo;Argentina;2016;Muriel Santa Ana.Peto Menahem.Héctor Díaz.Sebastián Wainraich.Karina K..Hernán Jiménez.Fabián Forte.Verónica Intile;
TV Show;Cain and Abel;;South Korea;2009;So Ji-sub.Shin Hyun-joon.Chae Jung-an.Han Ji-min.Kim Hae-suk.You-Mi Ha.Yong Jang.Kwon Hae-hyo;
Movie;Cake;Asim Abbasi;United Kingdom.Pakistan;2018;Aamina Sheikh.Sanam Saeed.Adnan Malik.Mohammad Ahmad.Beo Rana Zafar.Faris Khalid.Hira Hussain.Mikaal Zulfiqar;
Movie;Calendar Girls;Madhur Bhandarkar;India;2015;Akanksha Puri.Avani Modi.Kyra Dutt.Ruhi Singh.Satarupa Pyne.Mita Vashisht.Keith Sequeira.Deepak Wadhwa.Indraneil Sengupta.Vikram Sakhalkar;
TV Show;Calico Critters;;;2018;Georgie Fuller.Jessica Hinds-Mingo.05.umi Kawai.Sarah Sumeray.Alix Macey.Jenna Sharpe;
Movie;Calico Critters: A Town of Dreams;Momoko Kamiya;;2017;;
Movie;Calico Critters: The Treasure of Calico Village;Momoko Kamiya;;2017;;
TV Show;Call Me Francis;;Italy;2016;Rodrigo de la Serna.Sergio Hernández.Mercedes Morán.Muriel Santa Ana.Alex Brendemühl.Maximilian Dirr.Andres Gil.Marco Di Tieri;
TV Show;Camelia la Texana;Carlos Bolado;Mexico.United States;2014;Sara Maldonado.Erik Hayser.Andrés Palacios.Dagoberto Gama.Luis Ernesto Franco.Arcelia Ramírez.Eréndira Ibarra;
Movie;Camera Store;Scott Marshall Smith;United States;2016;John Larroquette.John Rhys-Davies.Paul Ben-Victor.David James Elliott.Laura Silverman.Cheryl Ladd.Justin Lieberman.Maddie McCormick;
Movie;Camp Cool Kids;Lisa Arnold;United States;2017;Connor Rosen.Logan Shroyer.Michael Gross.Markie Post.Leigh-Allyn Baker.Juliocesar Chavez.Tyree Brown;
TV Show;Camp X;;Canada;2014;;
Movie;Camp X-Ray;Peter Sattler;United States;2014;Kristen Stewart.Peyman Moaadi.John Carroll Lynch.Lane Garrison.Joseph Julian Soria.Ser'Darius Blain.Cory Michael Smith.Julia Duffy;
TV Show;Can We Get Married?;;South Korea;2012;Sung Jun.So-min Jung.Sung-min Kim.Ae-yeon Jeong.Mi-sook Lee.Eun-sook Sunwoo.Seok-woo Kang.Young-kwang Kim.Han Groo.Jin-soo Kim;
Movie;Can't Hardly Wait;Harry Elfont.Deborah Kaplan;United States;1998;Jennifer Love Hewitt.Ethan Embry.Charlie Korsmo.Lauren Ambrose.Peter Facinelli.Seth Green.Michelle Brookhurst.Alexander Martin.Erik Palladino.Channon Roe.Sean Patrick Thomas;
Movie;Candyman;Bernard Rose;United States.United Kingdom;1992;Virginia Madsen.Tony Todd.Xander Berkeley.Kasi Lemmons.Vanessa Williams.DeJuan Guy.Michael Culkin.Stanley DeSantis;
TV Show;Cannabis;;France;2016;Jean-Michel Correia.Yasin Houicha.Pedro Casablanc.Christophe Paou.Kate Moran.Santi Pons;
Movie;Capital in the Twenty-First Century;Justin Pemberton;France.New Zealand;2019;;
Movie;Cappuccino;Noushad;India;2017;Dharmajan Bolgatty.Aneesh Menon.Sunil Sukhada.Anita Lukmance.Kottayam Pradeep.Natasha Doshi.Hareesh Perumanna.Sharanya.Vineeth Mohan.Sudhi Koppa;
Movie;Cardboard Gangsters;Mark O'Connor;Ireland;2016;John Connors.Fionn Walton.Kierston Wareing.Paul Alwright.Ryan Lincoln.Jimmy Smallhorne.Toni O'Rourke.Fionna Hewitt-Twamley.Stephen Clinch.Ciaran McCabe;
TV Show;Care Bears: Welcome to Care-a-Lot;;United States;2012;David Lodge.Patty Mattson.Doug Erholtz.Stephanie Sheh.Nayo Wallace.Michael Sinterniklaas.Michaela Dean;
Movie;Caregiver;Chito S.Roño;Philippines;2008;Sharon Cuneta.John Estrada.John Manalo.Rica Peralejo.Jhong Hilario.Saul Reichlin.Matthew Rutherford.Claire Jeater.Makisig Morales.Mickey Ferriols;
Movie;Carol;Todd Haynes;United Kingdom.United States.Australia;2015;Cate Blanchett.Rooney Mara.Sarah Paulson.Kyle Chandler.Jake Lacy.John Magaro.Cory Michael Smith.Carrie Brownstein.Kevin Crowley.Nik Pajic;
Movie;Carrie;Brian De Palma;United States;1976;Sissy Spacek.Piper Laurie.Amy Irving.William Katt.John Travolta.Nancy Allen.Betty Buckley.P.J.Soles.Priscilla Pointer.Sydney Lassick.Stefan Gierasch.Michael Talbott.Doug Cox.Harry Gold.Noelle North;
Movie;Carriers;Àlex Pastor.David Pastor;United States;2009;Lou Taylor Pucci.Chris Pine.Piper Perabo.Emily VanCamp.Christopher Meloni.Kiernan Shipka.Ron McClary.Mark Moses;
Movie;Casa de mi Padre;Matt Piedmont;United States.Mexico;2012;Will Ferrell.Gael García Bernal.Diego Luna.Genesis Rodriguez.Pedro Armendáriz Jr..Nick Offerman.Efren Ramirez.Adrian Martinez;
TV Show;Case Closed;;Japan;2015;Minami Takayama.Alison Retzloff.Wakana Yamazaki.Colleen Clinkenbeard.Akira Kamiya.R.Bruce Elliott.Wataru Takagi.Chafurin.Mark Stoddard;
Movie;Casino Royale;Martin Campbell;United Kingdom.Czech Republic.United States.Germany.Bahamas;2006;Daniel Craig.Judi Dench.Eva Green.Jeffrey Wright.Mads Mikkelsen.Giancarlo Giannini;
Movie;Casino Tycoon;Wong Jing;Hong Kong;1992;Wong Jing;
Movie;Casino Tycoon 2;Wong Jing;Hong Kong;1992;Dennis Chan;
TV Show;Castle of Stars;;;2015;Chaiyapol Pupart.Jintanutda Lummakanon.Worrawech Danuwong.Ornjira Lamwilai.Yong Armchair.Keerati Mahapreukpong.Akarat Nimitchai.Kornpassorn Duaysianklao.Nattapong Chartpong;
Movie;Cat on a Hot Tin Roof;Richard Brooks;United States;1958;Elizabeth Taylor.Paul Newman.Burl Ives.Jack Carson.Judith Anderson.Madeleine Sherwood.Larry Gates.Vaughn Taylor;
Movie;Catching the Sun;Shalini Kantayya;China.Germany.India.United States;2015;;
Movie;Cats & Dogs: The Revenge of Kitty Galore;Brad Peyton;United States.Australia;2010;James Marsden.Nick Nolte.Christina Applegate.Katt Williams.Bette Midler.Neil Patrick Harris.Sean Hayes.Wallace Shawn.Roger Moore.Joe Pantoliano.Michael Clarke Duncan.Chris O'Donnell.Jack McBrayer.Kiernan Shipka;
Movie;Catwalk: Tales from the Cat Show Circuit;Aaron Hancox.Michael McNamara;Canada;2018;;
Movie;Cave;Henrik Martin Dahlsbakken;Norway;2016;Heidi Toini.Benjamin Helstad.Mads Sjogard Pettersen.Ingar Helge Gimle;
Movie;Celluloid Man;Shivendra Singh Dungarpur;India;2012;P.K.Nair;
Movie;Center Stage;Nicholas Hytner;United States;2000;Amanda Schull.Zoe Saldana.Susan 05.Pratt.Peter Gallagher.Donna Murphy.Debra Monk.Ethan Stiefel.Sascha Radetsky.Julie Kent.Ilia Kulik;
Movie;Chaar Sahibzaade;Harry Baweja;India;2014;Om Puri;
Movie;Chal Dhar Pakad;Aatmaram Dharne;India;2010;Nagesh Bhonsle;
Movie;Chal Mere Bhai;David Dhawan;India;2000;Sanjay Dutt.Salman Khan.Karisma Kapoor.Dalip Tahil.Sushma Seth.Shakti Kapoor.Nagma.Sonali Bendre.Twinkle Khanna.Ravi Baswani;
Movie;Chalay Thay Saath;Umer Adil;Pakistan;2017;Syra Shehroz.Kent S.Leung.Osama Tahir.Mansha Pasha.Zhalay Sharhadi.Faris Khalid.Behroze Sabzwari.Shamim Hilaly;
Movie;Chandani: The Daughter of the Elephant Whisperer;Arne Birkenstock;Germany.Sri Lanka;2010;K.G.Chandani Renuka Ratnayake;
Movie;Change in the Air;Dianne Dreyer;United States;2018;Mary Beth Hurt.Rachel Brosnahan.Aidan Quinn.Olympia Dukakis.M.Emmet Walsh.Peter Gerety.Macy Gray.Satya Bhabha;
Movie;Chaotic Love Poems;Garin Nugroho;Indonesia;2016;Chicco Jerikho.Pevita Pearce;
Movie;Chappaquiddick;John Curran;United States.Sweden;2017;Jason Clarke.Kate Mara.Ed Helms.Bruce Dern.Jim Gaffigan.Olivia Thirlby.Clancy Brown.Taylor Nichols.John Fiore;
Movie;Charlie and the Chocolate Factory;Tim Burton;United Kingdom.United States;2005;Johnny Depp.Freddie Highmore.David Kelly.Helena Bonham Carter.Noah Taylor.Missi Pyle.James Fox.Deep Roy.Christopher Lee.Adam Godley.AnnaSophia Robb.Julia Winter.Jordan Fry.Philip Wiegratz;
Movie;Charlie's Angels: Full Throttle;McG;United States;2003;Cameron Diaz.Drew Barrymore.Lucy Liu.Bernie Mac.Crispin Glover.Justin Theroux.Robert Patrick.Demi Moore.Rodrigo Santoro.Shia LaBeouf.Matt LeBlanc.Luke Wilson.John Cleese;
Movie;Charlotte's Web;Charles A.Nichols.Iwao Takamoto;United States;1973;Debbie Reynolds.Charles Nelson Reilly.Paul Lynde.Henry Gibson.Rex Allen.Danny Bonaduce.Pamelyn Ferdin.Don Messick.Agnes Moorehead.Martha Scott.John Stephenson.Herb Vigran.Dave Madden;
Movie;Chashme Buddoor;David Dhawan;India;2013;Ali Zafar.Siddharth.Divyendu Sharma.Tapsee Pannu.Rishi Kapoor.Anupam Kher.Bharati Achrekar.Varun Dhawan.Lillete Dubey.Ayaz Khan.Ashish Verma;
Movie;Chasing Amy;Kevin Smith;United States;1997;Ben Affleck.Joey Lauren Adams.Jason Lee.Dwight Ewell.Jason Mewes.Kevin Smith;
TV Show;Chasing Monsters;;Canada;2016;Cyril Chauquet;
Movie;Chasing the Dragon;Wong Jing.Jason Kwan;Hong Kong.China;2017;Donnie Yen.Andy Lau.Philip Keung.Kent Cheng.Wilfred Lau.Ken Tong.Yu Kang;
Movie;Chasing Trane;John Scheinfeld;United States;2016;Denzel Washington.Bill Clinton.Ravi Coltrane.Common.Benny Golson.Jimmy Heath.Wynton Marsalis.Sonny Rollins.Carlos Santana.Cornel West;
Movie;Chauthi Koot;Gurvinder Singh;India.France;2015;Suvinder Vikky.Rajbir Kaur.Gurpreet Kaur Bhangu.Taranjit Singh.Harleen Kaur.Kanwaljeet Singh.Harnek Aulakh.Tejpal Singh.Gulshan Saggi;
TV Show;Cheapest Weddings;;Australia;2016;Melanie Vallejo;
TV Show;Cheers;;United States;1992;Ted Danson.Rhea Perlman.George Wendt.John Ratzenberger.Shelley Long.Kirstie Alley.Woody Harrelson.Kelsey Grammer.Nicholas Colasanto;
TV Show;Chef & My Fridge;;South Korea;2017;Seong-joo Kim​.Jung-hwan Ahn;
Movie;Chernobyl Diaries;Bradley Parker;United States;2012;Ingrid Bolsø Berdal.Dimitri Diatchenko.Olivia Taylor Dudley.Devin Kelley.Jesse McCartney.Nathan Phillips.Jonathan Sadowski.Alex Feldman.Kristof Konrad.Pasha D.Lychnikoff;
TV Show;Chewin' the Fat;;United Kingdom;1999;Ford Kiernan.Greg Hemphill.Karen Dunbar.Mark Cox.Paul Riley;
TV Show;Chewing Gum;;United Kingdom;2017;Michaela Coel.John Macmillan.Robert Lonsdale.Danielle Walters.Kadiff Kirwan.Susan Wokoma.Shola Adewusi.Sarah Hoare.Abby Rakic-Platt.Maggie Steed.Olisa Odele;
Movie;Chhota Bheem Aur Kaala Yodha;Sidheswar Shukla.Asit Mohapatra;;2018;Julie Tejwani.SABINA MALIK.Jigna Bharadhwaj.Rupa Bhimani.Lalit Agarwal.Rajesh Shukla.Disha.Rajesh Kawa.Raju;
Movie;Chhota Bheem Ka Romani Adventure;Asit Mohapatra.Shyamal Chaulia;;2018;Julie Tejwani.SABINA MALIK.Jigna Bharadhwaj.Rupa Bhimani.Lalit Agarwal.Rajesh Shukla.Disha.Rajesh Kawa.Raju;
Movie;Chhota Bheem Ka Troll Se Takkar;Shyamal Chaulia.Asit Mohapatra;;2018;Julie Tejwani.SABINA MALIK.Jigna Bharadhwaj.Rupa Bhimani.Lalit Agarwal.Rajesh Shukla.Disha.Rajesh Kawa.Raju;
Movie;Chhota Bheem Kungfu Dhamaka;Rajiv Chilaka.Binayak Das;India;2019;Sonal Kaushal.Rupa Bhimani.Jigna Bharadhwaj.Sabina Malik.Julie Tejwani.Rajesh Kava.Vaibhav Thakkar.Samriddhi Shuklaa.Aditya Raj Sharma.Vinod Kulkarni;
Movie;Chicken Kokkachi;Anuranjan Premji;India;2017;Anuranjan Premji.Indrans.Dharmajan Bolgatty.Sudhi Koppa.Bijukuttan.Neha Rathanakaran.Prasanth;
Movie;Chicken Little;Mark Dindal;United States;2005;Zach Braff.Joan Cusack.Patrick Stewart.Steve Zahn.Catherine O'Hara.Harry Shearer.Adam West.Don Knotts.Amy Sedaris.Garry Marshall.Patrick Warburton.Fred Willard.Wallace Shawn;
